Aff,Neg,Judging,Win
"Michigan KM																				Krakoff & Morgan","Harvard HS																				Herman & Sanjeev","Miles, Alex																													Vale, Peter																													Weil, Stephen","Neg																																																		Neg																																																		Neg"
"Michigan State TS																				Strong & Thur","Georgetown KL																				Knez & Louvis","Buntin, Jeff																													Crunkilton, Cody																													Perkins, Dallas","Aff																																																		Aff																																																		Aff"
"Southern California SS																				Saiedian & Sharma","Emory KS																				Karthikeyan & Sigalos","Bricker, Brett																													Campbell, Melanie																													Ehrlich, Miranda","Neg																																																		Neg																																																		Neg"
"UC Berkeley SW																				Sergent-Leventhal & Wimsatt","Liberty BC																				Byram & Chiri","Antonucci, Michael																													Paone, Ralph																													Suo, Michael","Neg																													Aff																																																																							Neg"
