Aff,Neg,Judging,Win
"Fullerton JP																				Jensen & Perry","CSU Long Beach BR																				Broadway & Roberts","Boroujeni, Tom																													Frappier, Glen																													Gonzalez, Gabriela","Aff																																																		Aff																																																		Aff"
"Fullerton KS																				Kejejyan & Sutka","Weber State JS																				Johnson & Stephens","Levin, Quinten																													Symonds, Adam																													Thomas, Erika","Neg																																																		Neg																																																		Neg"
