Aff,Neg,Judging,Win
"George Mason BB																				Blanton & Boyle","George Mason PR																				Pedersen & Ruiz",BYE,
"Liberty CH																				Carson & Hamilton","United States Military LS																				Lee & Sweatt","Glass, Robert																													Oliver, Austin																													Revelins, Armands","Aff																																																		Aff																																																		Aff"
