Aff,Neg,Judging,Win
"Indiana AS																				Aaronson & Smale","Wake Forest AS																				Athanasopoulos & Sugino","Boor, Kanan																													Hester, Michael																													Krakoff, Joe																													Ridley, Sean																													Vint, Kyle","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Towson BM																				Booker & Medeiros","Central Oklahoma HS																				Hilligoss & Stidham","Chowdhury, Amrut																													Fitzmier, Daniel																													Malone, Ryan																													Murillo, Gabe																													Sharif, Khalid","Neg																													Aff																																																		Aff																																																		Aff																																																																							Neg"
"Oklahoma WJ																				White & Juarez","UC Berkeley WG																				Gray & Wimsatt","Harris, Scott																													Lundeen, Geoff																													Matheson, Calum																													Rothenbaum, Nathan																													Turner, John","Neg																																																		Neg																																																		Neg																																																		Neg																																																									Aff"
"Northwestern CE																				Callahan & Esman","Georgia AR																				Agrawal & Ramanan","Bricker, Brett																													Fifelski, Kurt																													Gliniecki, Tom																													Repko, William																													Wunderlich, Carly","Neg																																																									Aff																																																		Aff																																																		Aff																																																		Aff"
"Northwestern JY																				Jankovsky & Young","Michigan State MW																				Munsinger & Walkington","Arnett, David																													Sigalos, Jason																													Susko, Peter																													Vargason, Ava																													Watson, Hays","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Texas KS																				Kilpatrick & Stransky","Michigan SK																				Shelton & Keenan","Antonucci, Michael																													Elliott, Scott																													Kennedy, Patrick																													Lundeen, Sarah																													Weil, Stephen","Aff																																																																							Neg																													Aff																																																																							Neg																													Aff"
"Kentucky BT																				Bannister & Trufanov","Northwestern KL																				Kohli & Levin","Bolman, Brad																													Gonzalez, Joshua																													Justice, Jacob																													Klarman, Brian																													Petersen, Mathew","Aff																																																		Aff																																																		Aff																																																		Aff																																																																							Neg"
"Kentucky NA																				Adam & Noparstak","Wake Forest MM																				Manchester & Mitchell","Campbell, Melanie																													Herndon, James																													Lastovica, Kyle																													Paul, Jonathan																													Strauss, David","Aff																																																		Aff																																																																							Neg																													Aff																																																		Aff"
"Rutgers-Newark MW																				Monclut & Wyche","UC Berkeley MS																				Muppalla & Spurlock","Hagwood, Ben																													Hampton, Jyleesa																													Kelsie, Amber																													Pasquinelli, Sydney																													Ruffin, Ameena","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Emory DP																				Demers & Phillips","Harvard MS																				Midha & Sanjeev","Bhattacharjee, Risha																													Hirn, Kevin																													Ogbuli, Anthony																													Revelins, Armands																													Stevenson, Ron","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Emory FL																				Forman & Lowe","Harvard GS																				Gordon & Slavinsky","Buntin, Jeff																													Harper, Allison																													Harrigan, Casey																													Mosley-Jensen, William																													Saiedian, Ideen","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Texas BP																				Bleiweiss & Pabst","Harvard AM																				Asimow & Medrano","Allen, Sam																													McBride, Brian																													Morgan, Will																													Regnier, Jason																													Shook, Lindsey","Aff																																																		Aff																																																		Aff																																																																							Neg																																																		Neg"
"Oklahoma Sa																				Pickens & Sanchez","Kansas FK																				Fry & Katz","Crossan, Ben																													McFarland, Ryan																													Rebrovick, Tripp																													Schauer, Courtney																													Varda, Scott","Aff																																																		Aff																																																		Aff																																																		Aff																																											Neg"
"Kansas HW																				Hegna & Walter","Rutgers-Newark NM																				Nave & Murphy","Bunas, Shae																													Loghry, Chris																													Malsin, Mikaela																													Najor, Bruce																													Starks, LaTonya","Neg																																																		Neg																																																									Aff																																											Neg																																																		Neg"
"Georgetown KL																				Knez & Louvis","Baylor BC																				Barron & Conner","Feldman, Jonah																													Garner, Richard																													Garrett, Lincoln																													Grasse, Donald																													Poapst, Jackie","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Nevada Las Vegas AK																				Aguilar & Kezios","Southern California BL																				Berger & Larsen","Ard, Marquis																													Brough, Taylor																													Chiri, Vida																													LeDuc, Joseph																													Whitley, Kevin","Aff																																																																							Neg																																																		Neg																													Aff																																																																							Neg"
