Aff,Neg,Judging,Win,Points/Ranks
"UT San Antonio AO																				Alanis & Okolo","Illinois HP																				Hills & Phillips","Thoma, Austin",Neg,"28																					Alanis																													28.1																					Okolo																													28.4																					Hills																													28.3																					Phillips"
"Kansas BP																				Bashaw & Philippe","Illinois HH																				Hodgson & Henderson","Gillette, Tyler",Aff,"29																					Bashaw																													29.1																					Philippe																													28.8																					Hodgson																													28.7																					Henderson"
"Illinois CC																				Carter & Corbridge","UT Dallas BS																				Bawany & Sanchez","McFarland, Ryan",Neg,"27.9																					Carter																													27.8																					Corbridge																													28.6																					Bawany																													28.5																					Sanchez"
"Kansas City Kansas CC WO																				Williams & O'Connor","NYU LR																				Lloyd & Raveneau","Leonardi, Chris",Neg,"28.5																					Williams																													27.9																					O'Connor																													28.7																					Lloyd																													28.6																					Raveneau"
"NYU DS																				Dalton & Szczechowski","Missouri - Kansas City SO																				Slinker & Owen","Mapes, Megan",Aff,"28.3																					Dalton																													28.2																					Szczechowski																													28.1																					Slinker																													28																					Owen"
"UT San Antonio CM																				Contreras & McIntosh","Texas DS																				Dikeman & Sun","McFarland, Hunter",Neg,"28.8																					Contreras																													28.5																					McIntosh																													28.7																					Dikeman																													28.6																					Sun"
"Houston HS																				Hernandez & Sanders","Illinois SH																				Shahriari & Herzing","Denney, Ashley",Neg,"28																					Hernandez																													27.9																					Sanders																													28.3																					Shahriari																													28.4																					Herzing"
"NYU BC																				Booth & Choi","Emporia State MW																				Monteith & Wathke","Samuels, Phil",Neg,"28.4																					Booth																													28.3																					Choi																													28.5																					Monteith																													28.2																					Wathke"
