Aff,Neg,Judging,Win
"George Mason LY																				Lisik & Youngquist","Wayne State AW																				Anton & Williams","Kimball, Judd																													Shook, Lindsey																													Woodruff, Austin","Aff																																											Neg																																																									Aff"
"Vanderbilt CS																				Cohon & Spingarn","George Mason CL																				Clarke & Lowery","Garrett, Lincoln																													Katsulas, John																													Young, Kelly","Neg																																																		Neg																																																		Neg"
