Aff,Neg,Judging,Win
"Emory FG																				Forman & Gazmararian","Georgetown BK																				Bernstein & Knez","Arnett, David																													Buntin, Jeff																													Garrett, Lincoln																													Geldof, Jonathan																													Justice, Jacob","Aff																																																		Aff																																																		Aff																																																		Aff																																																																							Neg"
"Nevada Las Vegas GH																				Gomez & Horn","Kansas KR																				Katz & Robinson","Dhillon, Kiran																													Lowe, Kristen																													Manuel, Brian																													Rubaie, Brian																													Vargason, Ava","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Harvard MS																				Midha & Sanjeev","Kentucky AN																				Adam & Noparstak","Kelley, Brandon																													Lastovica, Kyle																													Manchester, Jack																													Starks, LaTonya																													Watson, Hays","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Georgia AR																				Agrawal & Ramanan","Kentucky BT																				Bannister & Trufanov","Gliniecki, Tom																													Herndon, James																													Louvis, Ezra																													Sigalos, Jason																													Solice, Maggie","Neg																																																		Neg																													Aff																																																																							Neg																																																		Neg"
