Aff,Neg,Judging,Win
"George Mason BT																				Beck & Troxel","Liberty BG																				Barnett & Green","Brass, Oliver																													Stewart, Clay																													Struth, Matt","Neg																																																		Neg																																																		Neg"
"Miami LL																				Li & Lynch","Liberty AA																				Allison & Alvord","Cram Helwich, David																													Walters, Heather																													Watson, Hays","Neg																																																		Neg																																																		Neg"
