Aff,Neg,Judging,Win
"Iowa CK																				Christophersen & Kimbrough","Harvard GS																				Gordon & Slavinsky","Fifelski, Kurt																													Keller, Maria																													Meloche, Brad","Neg																																																		Neg																																																		Neg"
"Michigan SP																				Peilen & Shah","Michigan State BR																				Brown & Rodriguez","Crowe, Michael																													Hall, Sherry																													Vint, Kyle","Neg																																																		Neg																																																		Neg"
