Aff,Neg,Judging,Win
"Kansas City Kansas CC FG																				Ford & Glanzman","Wayne State NW																				Nagel & Wirth","Marty, Jillian																													Lundeen, Sarah																													Roberts, Jeff","Aff																																																																							Neg																													Aff"
"Michigan MM																				Morgan & Meyers-Levy","Dartmouth College CK																				Chen & Kreus","Reed, Joel																													Munday, Matt																													Roberts, Hanna","Aff																																																		Aff																																																		Aff"
"Missouri - Kansas City AF																				Ajisafe & Fisher","Kansas MB																				Miller & Bevens","Stanley, Justin																													Bunas, Shae																													Murillo, Gabe","Aff																																																		Aff																																																		Aff"
"Trinity RS																				Rothenbaum & Solice","Fresno State HT																				Holley & Tate","Frederick, Katie																													DiPiazza, Philip																													Hallinan, Blake","Neg																																																		Neg																																																		Neg"
"Kansas HR																				Hampton & Reed","Northern Iowa SS																				Shew & Simonson","White, Janna																													Bugrov, Max																													Carter, Marvin","Aff																																																		Aff																																																		Aff"
"Towson TW																				Thomas & Whitley","Kansas State MR																				McMillin-Beckman & Ramirez","Ortiz, Kate																													Keenan, Vik																													Russell, Jason","Aff																																																		Aff																																																		Aff"
"UT Dallas LO																				Loehr & Ogbuli","Texas KS																				Kilpatrick & Stransky","Russell, Bill																													Hiland, Al																													Steiner, Rebecca","Aff																																											Neg																																																		Neg"
"Wyoming MP																				Marcum & Pauli","Michigan CB																				Chappell & Batra","Gordon, Malcolm																													Box, Brian																													Samuels, Phil","Aff																																																		Aff																																																																							Neg"
"Oklahoma CB																				Cherry & Baker","Southern California OP																				Overing & Purk","Anderson, Jared																													Boroujeni, Tom																													Heidt, David","Aff																																																		Aff																																																		Aff"
"Central Oklahoma VY																				Vance & Yost","Wake Forest CL																				Cronin & Lopez","Allsup, Andrew																													Antonucci, Michael																													Denney, Ashley","Aff																																																		Aff																																																		Aff"
"Wake Forest SV																				Sugino & Villa","NYU ZD																				DeJohn & Zhan","Revelins, Armands																													Reynolds, Caitlin																													Turnage, Joshua","Neg																													Aff																																																		Aff"
"Puget Sound BQ																				Brittenham & Queirolo","Stanford GL																				Gulati & Lowry","Weathers, Aaron																													Green, LaToya																													Thach, Lee","Neg																																																		Neg																																																		Neg"
"Louisville BL																				Barnett & Lattimore","Oklahoma CO																				O'Brien & Chiles","Allen, Ben																													Renfree, Bethany																													Zisman, Ruth","Aff																																																		Aff																																																		Aff"
"Binghamton HC																				Herrera & Cepin","Kansas KS																				Khatri & Schile","Haynal, Kaitlyn																													Copenhaver, Roger																													Pasquinelli, Sydney","Neg																													Aff																																																																							Neg"
"Idaho State DI																				Doty & Ivanovic","Kansas FG																				Foreman & Goh","Larson, Andy																													Najor, Bruce																													Stone, Corey","Aff																																																		Aff																																																		Aff"
"Michigan KH																				Krakoff & Hirn","Whitman College BM																				Barsky & Menzies","Saunders, Ben																													Diamond, Kevin																													Kasschau, Vijay","Aff																																																		Aff																																																		Aff"
"West Georgia AM																				Ard & Muhammad","Towson BU																				Begum & Underdue","Gayetsky, Matt																													Glass, Robert																													Hagwood, Ben","Aff																																																		Aff																																																																							Neg"
"Vermont BB																				Brough & Broughton","Kansas HW																				Harris & Wefald","Kelsie, Amber																													Elliott, Darren																													Quigley, Dylan","Aff																																																		Aff																																																		Aff"
"Rutgers-Newark SR																				Smith & Randall","Los Rios PR																				Priyadarshini & Robinson","Imes, Josh																													Jackson, Adam																													Weddington, Tommye","Aff																																																		Aff																																																		Aff"
"Missouri State BR																				Bess & Rumbaugh","Oklahoma SB																				Schexnayder & Baez","Woodruff, Austin																													Chase, Allie																													Weston, Marna","Aff																																																		Aff																																																		Aff"
"San Francisco State/Irvine AP																				Andrade & Perez","Binghamton EB																				Evans & Bleyle","Stone Watt, Sarah																													Patrice, Joe																													Rubino, Kathryn","Aff																																																		Aff																																											Neg"
"Kansas State KM																				Klucas & Mays","UT San Antonio MP																				Morales & Pleitez","Ridley, Sean																													Stout, Daniel																													Topp, Sarah","Neg																													Aff																																																		Aff"
"Oklahoma MM																				Maddy & Massey","James Madison ML																				Miller & Lepp","Sciullo, Nick J.																													Kennedy, Patrick																													Manuel, Brian","Neg																													Aff																																																		Aff"
"George Mason BW																				Brown & Woodward","Oklahoma RY																				Robbins & Yahom","Evans, Ignacio																													Dillard-Knox, Tiffany																													Rodriguez, Jeanette","Neg																																																		Neg																																																		Neg"
"Rutgers-Newark HS																				Haughton & Stafford","Kansas CD																				Carey & Duff","Elliott, Scott																													Godbey, Samantha																													Mendenhall, Beth","Aff																																																		Aff																																																		Aff"
"Harvard BN																				Banks & Neustadt","Kansas BC																				Bhatla & Cook","Walters, Heather																													Cancro, Peter																													Spring, Sarah","Aff																																																		Aff																																																		Aff"
"Kansas CB																				Campbell & Birzer","Dartmouth College MM																				Martin & Moolenijzer","Van Luvanee, Lindsay																													Abelkop, Adam																													Perkins, Dallas","Aff																																																		Aff																																																		Aff"
"Kansas City Kansas CC CG																				Casas & Gonzaba","James Madison BP																				Bosley & Perez","Stevenson, James																													Brady, Nicholas																													Tews, Richard","Aff																																																		Aff																																																		Aff"
"Oklahoma WL																				Leonardi & Wyde","Liberty HM																				Holguin & Miller","Vincent, Christopher																													Johnson, Willie																													Taylor, James","Aff																																																																							Neg																													Aff"
