Aff,Neg,Judging,Win
"Emory KL																				Klarman & Lowe","Michigan MK																				Morgan & Krakoff","Antonucci, Michael																													Kennedy, Patrick																													Lundeen, Geoff","Aff																																																																							Neg																																																		Neg"
"Georgetown KL																				Knez & Louvis","Emory KS																				Karthikeyan & Sigalos","Bricker, Brett																													Buntin, Jeff																													Reed, Andrea","Neg																																																									Aff																																											Neg"
"West Georgia MS																				Muhammad & Sharif","Harvard HS																				Herman & Sanjeev","Hirn, Kevin																													Regnier, Jason																													Weil, Stephen","Neg																																																		Neg																																																		Neg"
"Kentucky GN																				Grasse & Noparstak","Michigan State TS																				Thur & Strong","Campbell, Melanie																													Herndon, James																													Markoff, Andrew","Aff																																																		Aff																																																		Aff"
