Aff,Neg,Judging,Win
"Kentucky BT																				Bannister & Trufanov","Kansas HW																				Hegna & Walter","Lastovica, Kyle																													Malsin, Mikaela																													Sigalos, Jason","Neg																													Aff																																																		Aff"
"Harvard MS																				Midha & Sanjeev","Wake Forest MR																				Mitchell & Reddy","Malone, Ryan																													Roark, Collin																													Strong, Margaret","Neg																																																									Aff																																																		Aff"
"Emory SY																				Shaikh & Yamout","Wake Forest AD																				Athanasopoulos & Dean","Garner, Richard																													Hester, Michael																													Shook, Lindsey","Aff																																											Neg																																																		Neg"
"Emory FG																				Forman & Gazmararian","Nevada Las Vegas HG																				Horn & Gomez","Bricker, Brett																													O'Gorman, Danielle																													Repko, William","Neg																													Aff																																																																							Neg"
"Georgia RS																				Rice & Stupek","Michigan State MG																				Munsinger & Grossman","Buntin, Jeff																													Call, Hannah																													Karthikeyan, Viveth","Aff																																																																							Neg																													Aff"
"Harvard AM																				Asimow & Medrano","Kansas KR																				Katz & Robinson","Hirn, Kevin																													Lundeen, Geoff																													Morgan, Will","Neg																																																		Neg																																																		Neg"
"Northwestern CE																				Callahan & Esman","Michigan WG																				Walrath & Goldschlag","Steiner, Rebecca																													Turner, John																													Watson, Hays","Aff																																																		Aff																																																		Aff"
"Georgia AR																				Agrawal & Ramanan","Emory DP																				Demers & Phillips","Cram Helwich, David																													Feldman, Jonah																													Revelins, Armands","Aff																																																		Aff																																																		Aff"
