Aff,Neg,Judging,Win
"Michigan State TS																				Strong & Thur","Harvard HS																				Herman & Sanjeev","Campbell, Melanie																													Crunkilton, Cody																													Malsin, Mikaela","Neg																																																		Neg																																																									Aff"
"Emory KS																				Karthikeyan & Sigalos","Liberty BC																				Byram & Chiri","Antonucci, Michael																													Quigley, Dylan																													Suo, Michael","Aff																																																		Aff																																																		Aff"
