Aff,Neg,Judging,Win
"Kansas HR																				Hampton & Robinson","United States Military BC																				Barlow & Caston","Evans, Ignacio																													Hagwood, Ben																													Wash, Ryan","Aff																																																		Aff																																																		Aff"
"Towson TW																				Thomas & Whitley","Puget Sound BQ																				Brittenham & Queirolo","Andrade, Luis																													Thach, Lee																													Van Luvanee, Lindsay","Aff																																																		Aff																																																		Aff"
"Arizona State CR																				Chotras & Rajan","Central Oklahoma HS																				Hilligoss & Stidham","Awsare, Shree																													Baez, Kristiana																													Vega, Matthew","Aff																																											Neg																																																									Aff"
"Weber State OG																				Olsen & Gaither","Oklahoma CY																				Cherry & Yahom","Bugrov, Max																													Montee, Andy																													Shook, Lindsey","Aff																																																																							Neg																																																		Neg"
"Kansas CK																				Carey & Khatri","James Madison LM																				Lepp & Miller","Cram, Travis																													Souders, Michael																													Thompson, Jacob","Aff																																																		Aff																																																		Aff"
"Weber State HT																				Hendricks & Tippets","Kansas FG																				Foreman & Goh","Pointer, Steve																													Russell, Jason																													Tews, Richard","Aff																																																		Aff																																																																							Neg"
"Oklahoma WS																				Wyde & Schexnayder","Nevada Las Vegas GV																				Gomez & Velto","Bankey, Brendon																													Garcia-Lugo, Juan																													Green, Justin","Neg																																																		Neg																																																									Aff"
"UT Dallas OL																				Ogbuli & Loehr","Texas KS																				Kilpatrick & Stransky","Kennedy, Sean																													Koehle, Joe																													Lundeen, Sarah","Aff																																																		Aff																																											Neg"
"Kansas BC																				Bhatla & Cook","Oklahoma CA																				Chiles & Ard","Guevara, Omar																													Reed, J.V.																													Taylor, James","Neg																																																		Neg																																																		Neg"
"Wake Forest AS																				Athanasopoulos & Sugino","NYU IZ																				Itliong & Zhan","Denney, Ashley																													Dunn, Izak																													Hester, Michael","Aff																																																																							Neg																													Aff"
"Pittsburgh BR																				Budny & Ramanna","CUNY AM																				Ayaz & McIntyre","Loghry, Chris																													Maurer, Samuel																													Patrice, Joe","Neg																																																		Neg																																																		Neg"
"Rutgers-Newark SH																				Stafford & Haughton","Vermont BL																				Brough & Lee","Brown, Whitney																													Kelsie, Amber																													Vincent, Christopher","Neg																																																		Neg																																																		Neg"
"Kansas City Kansas CC CN																				Casas & Nave","Binghamton CS																				Cepin & Sehgal","Copenhaver, Roger																													Green, LaToya																													Yost, Michael","Aff																																																		Aff																																																		Aff"
"North Texas CS																				Carroll & Sauceda","UT Dallas BF																				Ballard & Flanagan","Baker, Dominique																													Bosch, Emily																													Thiele, Chris","Neg																													Aff																																																																							Neg"
"Kansas City Kansas CC GJ																				Gonzaba & Joseph","Liberty CE																				Chiri & Edwards","Allen, Ben																													Cooper, Deven																													Johnson, Willie","Neg																																																		Neg																																																		Neg"
"Nevada Las Vegas BS																				Brooks & Stanfield","West Georgia GR																				Gaius & Robles","Elliott, Scott																													Murillo, Gabe																													Ridley, Sean","Neg																																																		Neg																																																		Neg"
