Aff,Neg,Judging,Win
"Kansas KR																				Katz & Robb","Central Oklahoma HS																				Hilligoss & Stidham","Richey, Kate																													McCullough, Hunter																													Quinn, Colin","Neg																																																									Aff																																											Neg"
"Missouri - Kansas City FJ																				Fisher & Joseph","Texas BP																				Bleiweiss & Pabst","Murillo, Gabe																													Baker, Will																													Bosch, Emily","Aff																																																		Aff																																																		Aff"
