Aff,Neg,Judging,Win
"Liberty MR																				Muldoon & Ritenour","George Mason PR																				Pedersen & Ruiz","Milton, Nate																													O'Gorman, Danielle																													Rubino, Kathryn","Aff																																											Neg																																																									Aff"
"Liberty CH																				Carson & Hamilton","George Mason AH																				April & Heinlein","Allen, T.S.																													Mihelcic, Zeke																													Tippets, Misty","Aff																																																		Aff																																																		Aff"
