Aff,Neg,Judging,Win
"Georgia GH																				Galerstein & Hebbale","Oklahoma AC																				Ard & Chiles","Kanellopoulos, Paul																													Kennedy, Patrick																													Robinson, Eric																													Souders, Michael																													Weil, Stephen","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Emory KL																				Klarman & Lowe","Georgetown KK																				Kazteridis & Knez","Clark, Joshua																													Hart, Andrew																													McCleary, Patrick																													McElhinny, Colin																													Wunderlich, Carly","Aff																																																		Aff																																											Neg																																																		Neg																																																									Aff"
"Kentucky GV																				Geldof & Vargason","UT Dallas OL																				Ogbuli & Loehr","Heidt, David																													Kallmyer, Kevin																													Kann, Sharon																													Markoff, Andrew																													Schirmer, Abby","Aff																																																																							Neg																													Aff																																																		Aff																																																		Aff"
"California, Berkeley WS																				Wimsatt & Sergent-Leventhal","California, Berkeley MS																				Muppalla & Spurlock",BYE,
"KCKCC CN																				Casas & Nave","Minnesota CE																				Crunkilton & Ehrlich","Hagwood, Ben																													Hirn, Kevin																													Kennedy, Sean																													Lee, Edward																													Shook, Lindsey","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Stanford GL																				Gulati & Lowry","Northwestern MV																				Miles & Vellayappan","Foley, Jordan																													Harris, Scott																													Lucas-Bolin, Alyssa																													Mosley-Jensen, William																													Quigley, Dylan","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Michigan State ST																				Strong & Thur","Michigan DM																				Donovan & Meyers-Levy","Gannon, Seth																													Gannon, Andres																													Gliniecki, Tom																													Moczulski, Leah																													Smelko, William","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Liberty CE																				Chiri & Edwards","Towson TW																				Thomas & Whitley","Allen, Ben																													Infante, Chad																													Murillo, Gabe																													Schultz, James																													Taylor, James","Neg																													Aff																																																																							Neg																													Aff																																																																							Neg"
"Michigan State CZ																				Caporal & Zemel","Georgetown LM																				Louvis & McCoy","Buntin, Jeff																													Deming, Kyle																													Frappier, Glen																													Hardy, Aaron																													Harper, Allison","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Kansas HR																				Hampton & Robinson","George Mason KL																				Kwon & Lastovica","Antonucci, Michael																													Feldman, Jonah																													Fitzmier, Daniel																													Malsin, Mikaela																													Steiner, Rebecca","Aff																																																		Aff																																											Neg																																																		Neg																																																		Neg"
"Iowa KL																				Kimbrough & Liriano","Emory KS																				Karthikeyan & Sigalos","Gramzinski, Logan																													Hester, Michael																													Lundeen, Sarah																													McBride, Brian																													Rubaie, Brian","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Oklahoma CY																				Cherry & Yahom","Michigan KM																				Krakoff & Morgan","Baker, Will																													Cheek, Ryan																													Leeson-Schatz, Joe																													Montee, Andy																													Regnier, Jason","Aff																																																		Aff																																											Neg																																																		Neg																																																									Aff"
"Kentucky GN																				Grasse & Noparstak","West Georgia GR																				Gaius & Robles","Cram Helwich, David																													Mathis, Erik																													Moore, Matthew																													Turner, John																													Vint, Kyle","Aff																																											Neg																																																		Neg																																																									Aff																																																		Aff"
