Aff,Neg,Judging,Win
"Baylor CR																				Conner & Ramsey","UT Dallas BJ																				Becker & Johnson","Brennan, Eli																													Eisenstadt, Michael																													Moore, Matthew","Aff																																																		Aff																																																		Aff"
"UCO CC																				Colen & Colquitt","UMKC KS																				Kroger & Scott","Evans, Sarah																													Maurer, Samuel																													montee, andy","Neg																																																		Neg																																																		Neg"
