Aff,Neg,Judging,Win
"Missouri - Kansas City FJ																				Fisher & Joseph","Oklahoma JS																				Juarez & Schleicher","Chase, Allie																													Denney, Ashley																													Kersch, Brian","Aff																																																		Aff																																																		Aff"
"Kansas BW																				Bell & Wefald","Missouri State BR																				Brower-Freeman & Russo","Brennan, Eli																													Makuch, Flynn																													Watts, Nick","Neg																																																		Neg																																																		Neg"
"Missouri - Kansas City SS																				Schartz & Scott","Kansas State PR																				Pena & Ramirez","Bunas, Shae																													DiPiazza, Philip																													Hampton, Jyleesa","Neg																																																		Neg																																																		Neg"
"Kansas HW																				Hegna & Walter","Wichita State CW																				Crane & Welch","Garcia-Lugo, Juan																													Robinson, Eric																													Russell, Jason","Aff																																																																							Neg																													Aff"
