Aff,Neg,Judging,Win
"UTDal BF																				Ballard & Flanagan","Kansas KR																				Katz & Robb","Tews, Richard																													Brennan, Eli																													Bunas, Shae","Aff																																																																							Neg																																																		Neg"
"WicSta CW																				Crane & Welch","CenOkl HS																				Hilligoss & Stidham","Robinson, Eric																													Bricker, Brett																													Weitz, Mike “;Shooter“;","Neg																													Aff																																																																							Neg"
