Aff,Neg,Judging,Win
"Emory FG																				Forman & Gazmararian","Kentucky BT																				Bannister & Trufanov","Gliniecki, Tom																													Hall, Sherry																													Morris, Eric","Aff																																																		Aff																																																																							Neg"
"Kansas KR																				Katz & Robinson","Harvard MS																				Midha & Sanjeev","Dhillon, Kiran																													Lepp, Nick																													Shook, Lindsey","Aff																																																		Aff																																																																							Neg"
