Aff,Neg,Judging,Win
"Emory FR																				Fiero & Reed-Guevara","Georgi HH																				Hoover & Haskins","Najor, Bruce																													Keeton, Joe																													Smale, Bee","Neg																																																									Aff																																											Neg"
"Louisv TW																				Thompson & Williams","Emory WR																				Rawal & Wells","Stevenson, Ron																													Rippetoe, Samantha																													Sciullo, Nick J.","Neg																																																		Neg																																																		Neg"
