Aff,Neg,Judging,Win,Points/Ranks
"Southern California		BL																		Berger & Larsen","Kansas										HW										Walter & Hegna","Rebrovick, Tripp",Neg,"29.1																					Berger																													29.2																					Larsen																													29																					Walter																													29.4																					Hegna"
"Central Oklahoma			HS																	Stidham & Hilligoss","Kentucky								BT												Bannister & Trufanov","Buntin, Jeff",Neg,"28.7																					Stidham																													28.6																					Hilligoss																													28.9																					Bannister																													28.8																					Trufanov"
"Emory					FG															Forman & Gazmararian","Harvard								AS												Asimow & Sanjeev","Arnett, David",Neg,"28.9																					Forman																													29																					Gazmararian																													28.8																					Asimow																													29.5																					Sanjeev"
