Aff,Neg,Judging,Win
"Emporia State MW																				Monteith & Wathke","UT Dallas BS																				Bawany & Sanchez","Chase, Allie																													Cram, Travis																													McFarland, Hunter","Neg																																																		Neg																																																		Neg"
"Kansas City Kansas CC SO																				Swetz & O'Connor","Texas DS																				Dikeman & Sun","Brennan, Eli																													Loghry, Chris																													Schauer, Courtney","Aff																																																		Aff																																																		Aff"
