Aff,Neg,Judging,Win
Okla CL																				Campbell and Lee,Georgetown AM																				Arsht and Markoff,"Heidt, David																													Short, Eric																													Spring, Sarah																													Turner, John																													Varda, Scott",Neg																																																		Neg																																																									Aff																																																		Aff																																											Neg
Michigan AP																				Allen and Pappas,Harvard BS																				Bolman and Suo,"Gonzalez, Joshua																													Barouch, Tim																													Harris, Scott																													Miller, Nicholas																													Najor, Bruce",Aff																																																		Aff																																																																							Neg																													Aff																																																																							Neg
