Aff,Neg,Judging,Win
"Gonzaga JB																				Johnson & Basler","Missouri State SW																				Smith & Wicks","Boroujeni, Tom																													Guevara, Omar																													Rodriguez Salcedo, Jeanette","Neg																													Aff																																																																							Neg"
"Weber State GM																				Gaither & Morales","Fresno State MS																				Martinez & Sansom","Gonzalez, Gabriela																													Holley, Sierra																													Morris, Eric","Aff																																																		Aff																																																		Aff"
