Aff,Neg,Judging,Win
"Kansas HR																				Hampton & Robinson","Oklahoma CY																				Cherry & Yahom","Bugrov, Max																													Evans, Ignacio																													Hagwood, Ben																													Kelsie, Amber																													Montee, Andy","Aff																																																																							Neg																													Aff																																																		Aff																																																		Aff"
"Kansas HR																				Hampton & Robinson","Oklahoma CY																				Cherry & Yahom","Bugrov, Max																													Evans, Ignacio																													Hagwood, Ben																													Kelsie, Amber																													Montee, Andy","Aff																																																																							Neg																													Aff																																																		Aff																																																		Aff"
"Kansas City Kansas CC CN																				Casas & Nave","Towson TW																				Thomas & Whitley","Baker, Dominique																													Brown, Whitney																													Russell, Jason																													Van Luvanee, Lindsay																													Weitz, Mike “;Shooter“;","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Kansas City Kansas CC CN																				Casas & Nave","Towson TW																				Thomas & Whitley","Baker, Dominique																													Brown, Whitney																													Russell, Jason																													Van Luvanee, Lindsay																													Weitz, Mike “;Shooter“;","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
