Aff,Neg,Judging,Win
"James Madison CM																				Cerja & McKnight","George Mason LY																				Lisik & Youngquist","Evans, Ignacio																													Glass, Robert																													Rubino, Kathryn","Neg																																																		Neg																													Aff"
"Liberty BW																				Washburn & Blow","Vanderbilt CS																				Cohon & Spingarn","Kimball, Judd																													McCleary, Patrick																													Wirth, Andrew","Neg																																																		Neg																																																		Neg"
"George Mason CL																				Clarke & Lowery","Mary Washington DH																				Dillon & Hogan","Garrett, Lincoln																													Hadi, Erin																													Hagwood, Ben","Aff																																																		Aff																																																		Aff"
