Aff,Neg,Judging,Win
"UC Berkeley KA																				Alattar & Kovnick","UC Berkeley GG																				Greenbury & Gruber",BYE,
"UT San Antonio AG																				Alegria & Gonzalez","Cal State Fullerton DG																				Delgado & Gonzalez","Makuch, Flynn																													Bunas, Shae																													Ruffin, Ameena","Neg																																																		Neg																																																		Neg"
"Central Oklahoma HS																				Hilligoss & Stidham","Wichita State OS																				O'Donnell & Saunders","Feldman, Jonah																													Ajisafe, Jide																													Cram, Travis","Aff																																																		Aff																																																		Aff"
