Aff,Neg,Judging,Win
"Northwestern CJ																				Callahan & Jankovsky","Harvard AS																				Asimow & Sanjeev","Harrigan, Casey																													Lastovica, Kyle																													Ryan, Nick","Neg																																																		Neg																																																		Neg"
"Emory KL																				Karthikeyan & Lowe","Georgia SR																				Stupek & Rice","Hall, Michael																													McCleary, Patrick																													Waldinger, Patrick","Aff																																											Neg																																																									Aff"
