Aff,Neg,Judging,Win
"Harvard DH																				Dimitrijevic & Herman","Minnesota CE																				Crunkilton & Ehrlich","Arnett, David																													Gannon, Andres																													Heidt, David																													McCleary, Patrick																													Spies, Stephanie","Neg																																																		Neg																																																		Neg																																																		Neg																																																									Aff"
"Oklahoma AC																				Ard & Chiles","Harvard BS																				Bolman & Suo","Awsare, Shree																													Garcia-Lugo, Juan																													Green, Justin																													Mathis, Erik																													Shook, Lindsey","Neg																																																									Aff																																											Neg																																																									Aff																																											Neg"
"Michigan State ST																				Strong & Thur","Michigan AP																				Allen & Pappas","Antonucci, Michael																													Cram Helwich, David																													Hall, Sherry																													Moczulski, Leah																													Mosley-Jensen, William","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"California, Berkeley WS																				Wimsatt & Sergent-Leventhal","Northwestern MV																				Miles & Vellayappan","Arsht, Andrew																													Fifelski, Kurt																													Hirn, Kevin																													Quigley, Dylan																													Wunderlich, Carly","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
