Aff,Neg,Judging,Win
"Indian Aaronson & Smale																				Aaronson & Smale","Michig Meyers-Levy & Donovan																				Meyers-Levy & Donovan","Steffan, Mike																													Cram Helwich, David																													Wunderlich, Carly","Aff																																																																							Neg																																																		Neg"
"Northw Callahan & Weideman																				Callahan & Weideman","Minnes Asirvatham & Leburu																				Asirvatham & Leburu","Strauss, David																													Crowe, Michael																													Keeton, Joe","Aff																																																		Aff																																																		Aff"
