Aff,Neg,Judging,Win
"Wichita State CW																				Crane & Welch","Central Oklahoma HS																				Hilligoss & Stidham","Chase, Allie																													Loehr, Jacob																													Quinn, Colin","Neg																																																		Neg																																																		Neg"
"Baylor SW																				Sheaff & Walberg","Wichita State SO																				Saunders & O'Donnell","Bunas, Shae																													Harris, Scott																													Leonardi, Chris","Neg																																																									Aff																																											Neg"
