Aff,Neg,Judging,Win
"California, Berkeley MS																				Muppalla & Spurlock","Harvard MS																				Midha & Sanjeev","Justice, Jacob																													Lundeen, Sarah																													Weil, Stephen","Neg																																																		Neg																																																		Neg"
"Emory FL																				Forman & Lowe","Wake Forest AS																				Athanasopoulos & Sugino","Feldman, Jonah																													Grasse, Donald																													Ruffin, Ameena","Neg																																																		Neg																																																		Neg"
