Aff,Neg,Judging,Win
"Weber State LR																				Leyba & Raso","Nevada Las Vegas VO																				O'Reilly & Vo","Turner, John																													Chase, Allie																													Moss, Zachary","Aff																																											Neg																																																									Aff"
"Washington HT																				Hiatt & Taute","CSU Northridge BD																				Barbalace & Dighiera","Gerber, Matt																													Whitley, Kevin																													Yahom, Jefferson","Aff																																																		Aff																																																		Aff"
