Aff,Neg,Judging,Win
"George Mason SS																				Shoja & Stankovic","Vanderbilt CK																				Carey & Kunte","Cram Helwich, David																													Mathis, Erik																													Weil, Stephen","Aff																																																		Aff																																																		Aff"
"Liberty HH																				Harrington & Hidalgo","Minnesota JW																				Johnson & Welborn","Butt, Neil																													Holland, John																													Munday, Matt","Aff																																																		Aff																																																		Aff"
