Aff,Neg,Judging,Win
"MisSta AK																				Allgood & King","WicSta BW																				Blake & Wedel","Bricker, Brett																													Justice, Jacob																													Stanley, Justin","Neg																																																		Neg																																																		Neg"
"Texas SV																				Sun & Vargas","JohCou RN																				Riddle & Niermann","Botkin, Tess																													Maurer, Samuel																													Stanfield, Daniel","Neg																													Aff																																																																							Neg"
