Aff,Neg,Judging,Win,Points/Ranks
"Emory										FG										Forman & Gazmararian","Central Oklahoma							HS													Stidham & Hilligoss","McBride, Brian",Neg,"29.1																					Forman																													28.8																					Gazmararian																													29.2																					Stidham																													28.7																					Hilligoss"
"Northwestern								CE												Callahan & Esman","Southern California					BL															Berger & Larsen","Arnett, David",Neg,"28.8																					Callahan																													28.9																					Esman																													29																					Berger																													29.2																					Larsen"
"Harvard									AS											Asimow & Sanjeev","Kentucky											BT									Bannister & Trufanov","Malsin, Mikaela",Neg,"29.1																					Asimow																													29.2																					Sanjeev																													29.3																					Bannister																													29																					Trufanov"
