Aff,Neg,Judging,Win
"Georgetown KL																				Knez & Louvis","Northwestern JY																				Jankovsky & Young","Bricker, Brett																													O'Gorman, Danielle																													Petersen, Mathew","Neg																																																		Neg																																																		Neg"
"Northwestern CE																				Callahan & Esman","Wake Forest DM																				Dean & Munoz","Hagwood, Ben																													Hart, Andrew																													Stanfield, Daniel","Neg																													Aff																																																		Aff"
"Emory FL																				Forman & Lowe","Kansas KF																				Katz & Fry","Feldman, Jonah																													Perkins, Dallas																													Roark, Collin","Neg																																																		Neg																													Aff"
"Indiana AS																				Aaronson & Smale","Michigan State WM																				Walkington & Munsinger","Ard, Marquis																													Cram Helwich, David																													Mosley-Jensen, William","Aff																																											Neg																																																		Neg"
"Wake Forest AS																				Athanasopoulos & Sugino","Wake Forest GT																				Gidley & Tomasi",BYE,
"Michigan MS																				Meyers-Levy & Shelton","Harvard GS																				Gordon & Slavinsky","Harrigan, Casey																													Lundeen, Sarah																													Strong, Margaret","Neg																													Aff																																																																							Neg"
"UC Berkeley MS																				Muppalla & Spurlock","Pittsburgh DL																				Denison & Levinson","Holguin, Alex																													Regnier, Jason																													Smith, Elijah","Aff																																																		Aff																																																		Aff"
"UC Berkeley GW																				Gray & Wimsatt","Michigan WG																				Walrath & Goldschlag","Buntin, Jeff																													Mathis, Erik																													Stevenson, Ron","Aff																																																		Aff																																																		Aff"
"Minnesota AL																				Asirvatham & Leburu","Harvard MS																				Midha & Sanjeev","Campbell, Melanie																													McCleary, Patrick																													Watson, Hays","Neg																																																		Neg																																																		Neg"
"Wake Forest MS																				Mitchell & Shaw","Kansas WH																				Walter & Hegna","Brovero, Adrienne																													Lastovica, Kyle																													Ryan, Nick","Neg																																																		Neg																																																		Neg"
"Kansas BC																				Birzer & Cook","Northwestern KL																				Kohli & Levin","Fifelski, Kurt																													Garrett, Lincoln																													Gliniecki, Tom","Aff																																											Neg																																																		Neg"
"West Georgia CC																				Charles & Chan","Wake Forest CR																				Cronin & Reddy","Chebrolu, Rishi																													Krakoff, Joe																													Morgan, Will","Neg																																																		Neg																													Aff"
"Georgetown KS																				Krishnan & Shepherd","Kentucky HN																				Hampton & Noparstak","Kall, Aaron																													Strauss, David																													Susko, Peter","Aff																																											Neg																																																		Neg"
"Harvard AM																				Asimow & Medrano","Emory DP																				Demers & Phillips","Allsup, Andrew																													Hester, Michael																													Hirn, Kevin","Aff																																																		Aff																																																		Aff"
"Emory GK																				Gazmararian & Karthikeyan","Georgetown KM																				Kelley & Mills","Grasse, Donald																													Moczulski, Leah																													Vargason, Ava","Neg																													Aff																																																		Aff"
"Harvard BG																				Borbon & Gehling","Kentucky BT																				Bannister & Trufanov","Malsin, Mikaela																													Miller, Nicholas																													Wunderlich, Carly","Neg																																																		Neg																																																		Neg"
