Aff,Neg,Judging,Win,Points/Ranks
"Central Oklahoma									HS											Stidham & Hilligoss","Southern California					BL															Berger & Larsen","Malsin, Mikaela",Aff,"28.8																					Stidham																													28.5																					Hilligoss																													28.7																					Berger																													28.6																					Larsen"
"Emory							FG													Forman & Gazmararian","Northwestern							CE													Callahan & Esman","Bricker, Brett",Aff,"28.9																					Forman																													28.5																					Gazmararian																													28.7																					Callahan																													28.7																					Esman"
"Kansas								HW												Walter & Hegna","Harvard									AS											Asimow & Sanjeev","Buntin, Jeff",Neg,"29.1																					Walter																													29																					Hegna																													28.8																					Asimow																													29.2																					Sanjeev"
