Aff,Neg,Judging,Win
"Liberty AA																				Allison & Alvord","NYU BS																				Booth & Sherman","Reddick, Trevor																													Smith, Jason																													Webster Dunn, Christy","Aff																																																																							Neg																																																		Neg"
"NYU HR																				Hussain & Reed","Liberty GK																				Green & Kathol","Fowle, John																													Leeson-Schatz, Joe																													Revelins, Armands","Neg																																																									Aff																																											Neg"
"Boston College NV																				Navori & Valdez","Rochester GA																				Gardner & Abubakare","Nagy, John																													Pavlov, Vladimir																													Robinson, Rakeem","Neg																													Aff																																																																							Neg"
"NYU JL																				Johnwell & Lloyd","Boston College CW																				Coles & Wong","Edwards, Meagan																													Hall, Heather																													Ryan, Nick","Aff																																																		Aff																																																		Aff"
