Aff,Neg,Judging,Win
"Baylor WZ																				Woods & Zoda","Towson BM																				Booker & Medeiros","Albiniak, Teddy																													Cherry, Kaine																													Hampton, Jyleesa","Aff																																											Neg																																																									Aff"
"Weber State GT																				Gaither & Tippets","Harvard AM																				Asimow & Medrano","Lundeen, Sarah																													McBride, Brian																													Myers, Andrew","Aff																																																		Aff																																																		Aff"
"Kentucky BT																				Bannister & Trufanov","Michigan MD																				Meyers-Levy & Donovan","Buntin, Jeff																													Gannon, Seth																													Weil, Stephen","Neg																													Aff																																																		Aff"
"Stanford HP																				Hackett & Prabhu","UC Berkeley SM																				Spurlock & Muppalla","Chiri, Vida																													Hagwood, Ben																													Smith, Elijah","Neg																																																		Neg																																																		Neg"
"Southern California BS																				Berger & Sharma","Kansas HW																				Hegna & Walter","Antonucci, Michael																													Garrett, Lincoln																													Sigalos, Jason","Neg																																																		Neg																																																		Neg"
"Northwestern CE																				Callahan & Esman","Northwestern JY																				Jankovsky & Young",BYE,
"Harvard MS																				Midha & Sanjeev","Harvard MT																				Mohamed & Trepka",BYE,
"Kentucky AN																				Adam & Noparstak","Oklahoma PS																				Pickens & Sanchez","Boor, Kanan																													Kennedy, Patrick																													Rebrovick, Tripp","Neg																																																		Neg																													Aff"
"Missouri - Kansas City AT																				Aaron & Thomas","Texas BP																				Bleiweiss & Pabst","Crossan, Ben																													Lundeen, Geoff																													Whitley, Kevin","Neg																																																									Aff																																																		Aff"
"Kansas DR																				Delph & Robinson","Oklahoma WJ																				White & Juarez","Green, LaToya																													Kelsie, Amber																													Reid-Brinkley, Shanara","Aff																																																		Aff																																																		Aff"
"Emory FL																				Forman & Lowe","Nevada Las Vegas AK																				Aguilar & Kezios","Feldman, Jonah																													Grasse, Donald																													Varda, Scott","Aff																																																		Aff																																																		Aff"
"UC Berkeley WG																				Wimsatt & Gray","Emory DP																				Demers & Phillips","Bolman, Brad																													Hirn, Kevin																													Petersen, Mathew","Aff																																																		Aff																																																		Aff"
