Aff,Neg,Judging,Win
"Missouri - Kansas City AT																				Aaron & Thomas","Rutgers-Newark NM																				Nave & Murphy","Boor, Kanan																													Eisenstadt, Michael																													Whitley, Kevin","Neg																																																		Neg																																																									Aff"
"UC Berkeley SM																				Spurlock & Muppalla","Kansas HW																				Hegna & Walter","Cheek, Ryan																													Rebrovick, Tripp																													Weil, Stephen","Aff																																																		Aff																																																		Aff"
"Wake Forest AS																				Athanasopoulos & Sugino","UC Berkeley WG																				Wimsatt & Gray","Bolman, Brad																													Grasse, Donald																													Hampton, Jyleesa","Aff																																																		Aff																																																		Aff"
"Harvard MS																				Midha & Sanjeev","Emory GK																				Gazmararian & Karthikeyan","Bricker, Brett																													Campbell, Melanie																													Strong, Margaret","Aff																																																		Aff																																																		Aff"
