Aff,Neg,Judging,Win
"Kansas FP																				Fry & Philippe","Kansas SW																				Schrag & Woodcock",BYE,
"Kansas HW																				Hegna & Walter","KanCit GE																				Glanzman & Easley","Gordon, Malcolm																													Hart, Andrew																													Stone, Corey","Aff																																																		Aff																																																		Aff"
"Iowa GW																				Gartner & Wright","UMKC SS																				Schartz & Scott","Beier, Ian																													Mapes, Megan																													Simonson, Zach","Aff																																																		Aff																																																		Aff"
"UMKC KM																				Kroger & Mitchell","MisSta BG																				Brower-Freeman & Grosch","Chase, Allie																													Harris, Scott																													Sternhagen, Fred","Neg																																																									Aff																																											Neg"
