Aff,Neg,Judging,Win,Points/Ranks,Ranks
"St Mary's SB																				Szafraniec & Binley","CSU Long Beach DP																				Dadah & Pavlath","Loy Jr., Robert",Neg,"3											27.6																					Szafraniec																																								 4											27.5																					Binley																																								 1											28.9																					Dadah																																								 2											28.8																					Pavlath",
"Arizona State RV																				Ram & Vinson","San Francisco State PG																				Perez & Guardado","Thach, Lee",Aff,"1											28.7																					Ram																																								 3											28.3																					Vinson																																								 4											28																					Perez																																								 2											28.6																					Guardado",
"Southwestern CS																				Castillo & Salido","Weber State AM																				Astel & Morales","Abbasi, Calvin",Neg,"2											28																					Castillo																																								 4											26.5																					Salido																																								 1											28.5																					Astel																																								 3											27.5																					Morales",
"CSU Northridge AR																				Aceves & Ramos","Weber State LM																				Lovell & Mounarath","Bugrov, Max",Neg,"3											28.1																					Aceves																																								 4											28																					Ramos																																								 1											28.3																					Lovell																																								 2											28.2																					Mounarath",
"Arizona State SR																				Redman & Stoffer","San Francisco BL																				Barraza & Landeros","Barquin, Joseph",Aff,"1											28.6																					Stoffer																																								 3											28.3																					Redman																																								 4											28.2																					Barraza																																								 2											28.4																					Landeros",
"Arizona State CK																				Chowdhury & Kats","Weber State DM																				Doren & Medina","Green, LaToya",Aff,"1											28.5																					Chowdhury																																								 2											28.4																					Kats																																								 3											28.3																					Doren																																								 4											28.2																					Medina",
"Weber State RW																				Raso & Wilson","Fresno State MA																				Martinez & Arenas","Carroll, Darrian",Aff,"1											28.7																					Raso																																								 3											28.3																					Wilson																																								 2											28.4																					Martinez																																								 4											28.1																					Arenas",
"Southwestern BC																				Beaird & Calles","San Francisco State BB																				Baker & Bantum","Salcedo, Joel",Aff,"1											27.6																					Beaird																																								 2											27.5																					Calles																																								 3											25.7																					Baker																																								 4											25																					Bantum",
"Cal State Fullerton TW																				Tero & Willett","Nevada Las Vegas CW																				Carrera & Warren","Binley, Slammy",Aff,"4											27																					Tero																																								 2											27.5																					Willett																																								 3											27.3																					Carrera																																								 1											27.6																					Warren",
"Fresno State/CSU Northridge CB																				Clarke & Baltazar-Flores","Southwestern DR																				Dibas & Roy","Cureton, Shan",Neg,"3											25.5																					Clarke																																								 4											25																					Baltazar-Flores																																								 1											27																					Dibas																																								 2											26																					Roy",
"San Francisco State GH																				Gray & Heicht","Cal State Fullerton RS																				Ramirez & Salgado","Mills, Jordan",Aff,"2											28.3																					Gray																																								 3											28																					Heicht																																								 4											27.8																					Ramirez																																								 1											28.4																					Salgado",
