Aff,Neg,Judging,Win
"Weber State FJ																				frederick & Johnson","Arizona State KS																				Kapadia & Sadhwani","Barquin, Joseph																													Denney, Ashley																													Sauceda, Hope","Aff																																											Neg																																																									Aff"
"Weber State BS																				Bosen & Stephens","Arizona State MF																				Morris & Figueroa","Carroll, Darrian																													Myers, Andrew																													Ogata, Christian","Neg																																																		Neg																													Aff"
