Aff,Neg,Judging,Win,Points/Ranks
"UT San Antonio DF																				Dedick & Factory","Arizona State FM																				Figueroa & Morris","Salcedo, Joel",Neg,"27.5																					Dedick																													27.4																					Factory																													28.6																					Figueroa																													27.7																					Morris"
"Nevada Las Vegas FT																				Frazee & Thymianos","UT San Antonio GH																				Garza-Parker & Hernandez","Koehle, Joe",Aff,"28.2																					Frazee																													28.4																					Thymianos																													28																					Garza-Parker																													28.1																					Hernandez"
"Washington SP																				Soneda & Pasquier","Weber State FJ																				frederick & Johnson","Lipton, Adam",Neg,"28.1																					Soneda																													28																					Pasquier																													28.3																					frederick																													28.2																					Johnson"
