Aff,Neg,Judging,Win
"Central Oklahoma CS																				Colen & Spencer","Samford BD																				Bennie & Davis","Box, Brian																													Cram, Travis																													Symonds, Adam","Aff																																																																							Neg																																																		Neg"
"Arizona State QR																				Quint & Ram","George Mason DM																				Dailey & Melton","Russell, Jason																													Turner, John																													Watts, Nick","Neg																																																		Neg																																																		Neg"
"George Mason MT																				Mohney & Thomas","Florida CS																				Cartagena & Scolaro","Edwards, Meagan																													Ruffin, Ameena																													Whitley, Kevin","Neg																																																		Neg																																																		Neg"
"Cornell KS																				Knight & Salih","Kansas KR																				Katz & Robb","Bunas, Shae																													Crossan, Ben																													Poapst, Jackie","Neg																																																		Neg																													Aff"
"Oklahoma WP																				Witman & Pruitt","Rutgers-Newark WM																				Wyche & Monclut","Gonzaba, Brian																													Green, LaToya																													Hagwood, Ben","Neg																																																									Aff																																											Neg"
