Aff,Neg,Judging,Win
"Missouri State DE																				Dickerson & Evans","Missouri - Kansas City JS																				Jutt & Scott","Harris, Scott																													Moore, Matthew																													Varda, Scott","Neg																																																		Neg																																																		Neg"
"Missouri State SW																				Smith & Wicks","Missouri - Kansas City SW																				Schartz & Willett","Michael, Joshua																													O'Donnell, Nick																													Stanfield, Daniel","Neg																																																		Neg																																																		Neg"
