Aff,Neg,Judging,Win
"Emory KS																				Karthikeyan & Sigalos","Michigan MK																				Morgan & Krakoff","Garrett, Lincoln																													Kennedy, Patrick																													Petersen, Mathew","Neg																													Aff																																																																							Neg"
"Kentucky GN																				Grasse & Noparstak","Harvard HS																				Herman & Sanjeev","Herndon, James																													Hirn, Kevin																													Malsin, Mikaela","Neg																																																		Neg																																																		Neg"
